index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,4 ms,2 ms,3 ms,192.168.71.160,,,,,,,,,
2,75 ms,29 ms,40 ms,10.72.171.38,,,,,,,,,
3,49 ms,41 ms,37 ms,172.25.124.206,,,,,,,,,
7,93 ms,49 ms,40 ms,192.168.59.112,,,,,,,,,
10,99 ms,49 ms,62 ms,74.125.51.166,74.125.0.0/16,GOOGLE,Google LLC,US,15169.0,Google LLC,GOOGLE,US,Global
11,72 ms,49 ms,98 ms,74.125.37.7,74.125.0.0/16,GOOGLE,Google LLC,US,15169.0,Google LLC,GOOGLE,US,Global
12,57 ms,77 ms,51 ms,108.170.231.79,108.170.192.0/18,GOOGLE,Google LLC,US,15169.0,Google LLC,GOOGLE,US,Global
13,149 ms,50 ms,52 ms,4.55.111.34,4.0.0.0/9,LVLT-ORG-4-8,"Level 3 Parent, LLC",US,3356.0,"Level 3 Parent, LLC",LEVEL3,US,Global
