index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,265 ms,268 ms,304 ms,37.19.199.157,37.19.198.0/23,CDNEXT-NYC,CDNEXT NYC,US,212238,Datacamp Limited,CDNEXT,GB,Global
1,277 ms,273 ms,263 ms,185.229.188.172,185.229.188.0/23,UK-DATACAMP-20171102,Datacamp Limited,GB,60068,CDN77,CDN77,GB,Global
2,287 ms,271 ms,270 ms,185.229.188.169,185.229.188.0/23,UK-DATACAMP-20171102,Datacamp Limited,GB,60068,CDN77,CDN77,GB,Global
3,310 ms,316 ms,316 ms,45.134.215.17,45.134.215.0/24,CDN77-int,CDN77 int,GB,60068,CDN77,CDN77,GB,Regional
4,304 ms,299 ms,314 ms,199.27.132.46,199.27.132.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
5,283 ms,291 ms,304 ms,104.18.8.132,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
