index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,164 ms,269 ms,162 ms,185.107.56.254,185.107.56.0/22,NL-NFORCE-20150703,NForce Entertainment B.V.,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Global
1,160 ms,160 ms,162 ms,185.107.116.21,185.107.116.0/24,,,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Regional
2,172 ms,164 ms,164 ms,141.101.65.26,141.101.65.0/24,CLOUDFLARENET-EU,"CloudFlare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
3,170 ms,164 ms,204 ms,172.71.100.4,172.71.100.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
4,166 ms,166 ms,168 ms,104.18.8.132,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
