index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,4 ms,3 ms,3 ms,192.168.71.160,,,,,,,,,
2,78 ms,63 ms,64 ms,10.72.171.38,,,,,,,,,
3,45 ms,67 ms,49 ms,172.25.124.206,,,,,,,,,
4,,202 ms,,192.168.104.177,,,,,,,,,
6,,,162 ms,172.26.100.82,,,,,,,,,
7,132 ms,,91 ms,192.168.59.116,,,,,,,,,
10,120 ms,52 ms,49 ms,49.44.129.159,49.44.128.0/17,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
11,395 ms,379 ms,53 ms,162.158.52.19,162.158.52.0/22,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
12,,155 ms,40 ms,104.18.9.132,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
