index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,12 ms,5 ms,26 ms,192.168.71.160,,,,,,,,,
2,74 ms,56 ms,33 ms,10.72.171.38,,,,,,,,,
3,36 ms,39 ms,39 ms,172.25.124.210,,,,,,,,,
7,54 ms,29 ms,41 ms,192.168.59.112,,,,,,,,,
10,107 ms,47 ms,81 ms,49.44.220.131,49.44.128.0/17,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
11,56 ms,39 ms,49 ms,104.16.29.57,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
