index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,476 ms,555 ms,315 ms,37.19.199.156,37.19.198.0/23,CDNEXT-NYC,CDNEXT NYC,US,212238,Datacamp Limited,CDNEXT,GB,Global
1,466 ms,413 ms,300 ms,185.229.188.170,185.229.188.0/23,UK-DATACAMP-20171102,Datacamp Limited,GB,60068,CDN77,CDN77,GB,Global
2,336 ms,714 ms,443 ms,185.229.188.169,185.229.188.0/23,UK-DATACAMP-20171102,Datacamp Limited,GB,60068,CDN77,CDN77,GB,Global
3,580 ms,406 ms,353 ms,45.134.215.17,45.134.215.0/24,CDN77-int,CDN77 int,GB,60068,CDN77,CDN77,GB,Regional
4,351 ms,951 ms,431 ms,172.70.108.4,172.70.108.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
5,351 ms,387 ms,430 ms,104.16.115.21,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
