index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,216 ms,407 ms,411 ms,185.107.56.254,185.107.56.0/22,NL-NFORCE-20150703,NForce Entertainment B.V.,NL,43350.0,NForce Entertainment B.V.,NFORCE,NL,Global
1,327 ms,202 ms,207 ms,185.107.116.21,185.107.116.0/24,,,NL,43350.0,NForce Entertainment B.V.,NFORCE,NL,Regional
2,243 ms,201 ms,205 ms,80.249.210.180,,,,,,,,,
3,355 ms,204 ms,162 ms,212.227.120.229,212.227.0.0/16,,,DE,8560.0,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",IONOS-AS,DE,Global
4,384 ms,201 ms,204 ms,212.227.116.221,212.227.0.0/16,,,DE,8560.0,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",IONOS-AS,DE,Global
5,160 ms,259 ms,202 ms,217.160.0.86,217.160.0.0/16,,,DE,8560.0,"This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE.",IONOS-AS,DE,Global
