index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,156 ms,152 ms,283 ms,185.107.56.254,185.107.56.0/22,NL-NFORCE-20150703,NForce Entertainment B.V.,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Global
1,183 ms,151 ms,157 ms,185.107.116.21,185.107.116.0/24,,,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Regional
2,152 ms,157 ms,151 ms,209.85.148.162,209.85.128.0/17,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
3,155 ms,158 ms,154 ms,108.170.241.225,108.170.192.0/18,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
4,152 ms,153 ms,154 ms,142.250.224.133,142.250.0.0/15,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
5,152 ms,151 ms,159 ms,216.58.214.4,216.58.192.0/19,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
