index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,3 ms,2 ms,3 ms,192.168.71.160,,,,,,,,,
2,61 ms,93 ms,32 ms,10.72.171.38,,,,,,,,,
3,56 ms,43 ms,38 ms,172.25.124.212,,,,,,,,,
4,,48 ms,,192.168.104.177,,,,,,,,,
6,,76 ms,31 ms,172.26.100.82,,,,,,,,,
7,,,83 ms,192.168.59.116,,,,,,,,,
10,248 ms,55 ms,50 ms,162.158.226.122,162.158.226.0/23,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
11,100 ms,59 ms,49 ms,172.69.176.5,172.69.176.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
12,149 ms,55 ms,51 ms,170.114.52.2,170.114.52.0/24,ZVC,"Zoom Video Communications, Inc",US,209242.0,"Cloudflare, Inc.",CLOUDFLARESPECTRUM,US,Regional
