index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,141 ms,154 ms,148 ms,103.125.235.1,103.125.235.0/24,ProtonVPN-Tokyo-1,ProtonVPN,JP,3258,xTom Tokyo,XTOM-TOKYO,AU,Regional
2,246 ms,191 ms,226 ms,101.203.89.164,101.203.88.0/22,,"BBIX, Inc.",JP,4775,Globe Telecoms,,PH,Global
3,188 ms,,177 ms,101.203.89.88,101.203.88.0/22,,"BBIX, Inc.",JP,4775,Globe Telecoms,,PH,Global
4,135 ms,140 ms,,23.60.109.172,23.60.108.0/22,AKAMAI,"Akamai Technologies, Inc.",US,16625,"Akamai Technologies, Inc.",AKAMAI-AS,US,Global
6,134 ms,136 ms,133 ms,23.60.109.172,23.60.108.0/22,AKAMAI,"Akamai Technologies, Inc.",US,16625,"Akamai Technologies, Inc.",AKAMAI-AS,US,Global
