index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,3 ms,9 ms,3 ms,192.168.71.160,,,,,,,,,
2,88 ms,59 ms,41 ms,10.72.171.70,,,,,,,,,
3,91 ms,41 ms,39 ms,172.25.124.206,,,,,,,,,
6,274 ms,45 ms,55 ms,172.26.100.82,,,,,,,,,
7,96 ms,35 ms,49 ms,192.168.59.116,,,,,,,,,
11,86 ms,31 ms,37 ms,49.44.183.1,49.44.128.0/17,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
12,116 ms,29 ms,41 ms,104.122.217.246,104.122.216.0/22,AKAMAI,"Akamai Technologies, Inc.",US,16625.0,"Akamai Technologies, Inc.",AKAMAI-AS,US,Global
