index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,295 ms,295 ms,281 ms,37.19.199.156,37.19.198.0/23,CDNEXT-NYC,CDNEXT NYC,US,212238,Datacamp Limited,CDNEXT,GB,Global
1,297 ms,285 ms,264 ms,185.229.188.170,185.229.188.0/23,UK-DATACAMP-20171102,Datacamp Limited,GB,60068,CDN77,CDN77,GB,Global
2,272 ms,267 ms,286 ms,209.120.246.61,209.120.128.0/17,RGS-BLK4,GTT,US,3257,GTT,GTT-BACKBONE,US,Global
3,309 ms,279 ms,290 ms,213.200.121.6,213.200.64.0/18,,,US,3257,GTT,GTT-BACKBONE,US,Global
4,277 ms,288 ms,290 ms,98.124.184.66,98.124.128.0/18,NET-WBS-4,GTT,US,3257,GTT,GTT-BACKBONE,US,Global
5,321 ms,415 ms,331 ms,23.203.156.187,23.192.0.0/11,AKAMAI,"Akamai Technologies, Inc.",US,20940,Akamai International B.V.,AKAMAI-ASN1,NL,Global
6,335 ms,310 ms,316 ms,69.192.23.106,69.192.0.0/16,AKAMAI-200802,"Akamai Technologies, Inc.",US,20940,Akamai International B.V.,AKAMAI-ASN1,NL,Global
