ASN_Number,ASN_description,ASN_Country_Code,IP_Type,ip,IP_range,IP_description,IP_Country
AS174,Cogent Communications,US,Global,154.54.3.9,154.48.0.0/12,African Network Information Center,MU
AS174,Cogent Communications,US,Global,154.54.90.58,154.48.0.0/12,African Network Information Center,MU
AS174,Cogent Communications,US,Global,154.54.28.70,154.48.0.0/12,African Network Information Center,MU
AS174,Cogent Communications,US,Global,154.54.7.158,154.48.0.0/12,African Network Information Center,MU
AS174,Cogent Communications,US,Global,154.54.40.106,154.48.0.0/12,African Network Information Center,MU
AS174,Cogent Communications,US,Global,38.122.34.130,38.0.0.0/8,Microsoft Corporation,US
AS174,Cogent Communications,US,Global,154.54.0.142,154.48.0.0/12,African Network Information Center,MU
AS209242,"Cloudflare, Inc.",US,Regional,170.114.52.2,170.114.52.0/24,"Zoom Video Communications, Inc",US
AS20940,Akamai International B.V.,NL,Global,69.192.23.106,69.192.0.0/16,"Akamai Technologies, Inc.",US
AS20940,Akamai International B.V.,NL,Global,23.9.64.150,23.0.0.0/12,"Akamai Technologies, Inc.",US
AS20940,Akamai International B.V.,NL,Global,104.71.158.210,104.64.0.0/10,"Akamai Technologies, Inc.",US
AS20940,Akamai International B.V.,NL,Global,2.16.43.59,2.16.0.0/13,,NL
AS20940,Akamai International B.V.,NL,Global,23.9.122.131,23.0.0.0/12,"Akamai Technologies, Inc.",US
AS20940,Akamai International B.V.,NL,Global,23.203.156.187,23.192.0.0/11,"Akamai Technologies, Inc.",US
AS212238,Datacamp Limited,GB,Global,37.19.199.156,37.19.198.0/23,CDNEXT NYC,US
AS212238,Datacamp Limited,GB,Global,37.19.199.157,37.19.198.0/23,CDNEXT NYC,US
AS23820,"Rakuten Group, Inc.",JP,Global,133.237.16.234,133.237.0.0/16,"Rakuten Group, Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.48.169,202.72.48.0/20,"Rakuten,Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.48.206,202.72.48.0/20,"Rakuten,Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.48.171,202.72.48.0/20,"Rakuten,Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.48.164,202.72.48.0/20,"Rakuten,Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.48.165,202.72.48.0/20,"Rakuten,Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.48.166,202.72.48.0/20,"Rakuten,Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.49.107,202.72.48.0/20,"Rakuten,Inc.",JP
AS23820,"Rakuten Group, Inc.",JP,Global,202.72.49.105,202.72.48.0/20,"Rakuten,Inc.",JP
AS2497,Internet Initiative Japan Inc.,JP,Global,58.138.101.34,58.138.0.0/17,Internet Initiative Japan Inc.,JP
AS2497,Internet Initiative Japan Inc.,JP,Global,202.232.9.10,202.232.0.0/16,Internet Initiative Japan Inc.,JP
AS2497,Internet Initiative Japan Inc.,JP,Global,58.138.101.38,58.138.0.0/17,Internet Initiative Japan Inc.,JP
AS2497,Internet Initiative Japan Inc.,JP,Global,58.138.81.173,58.138.0.0/17,Internet Initiative Japan Inc.,JP
AS2497,Internet Initiative Japan Inc.,JP,Global,58.138.88.157,58.138.0.0/17,Internet Initiative Japan Inc.,JP
AS2914,"NTT America, Inc.",US,Global,129.250.7.86,129.250.0.0/16,"NTT America, Inc.",US
AS2914,"NTT America, Inc.",US,Global,129.250.6.177,129.250.0.0/16,"NTT America, Inc.",US
AS2914,"NTT America, Inc.",US,Global,203.105.72.218,203.105.64.0/19,NTT Ltd Japan Corporation,JP
AS2914,"NTT America, Inc.",US,Global,129.250.6.127,129.250.0.0/16,"NTT America, Inc.",US
AS2914,"NTT America, Inc.",US,Global,129.250.6.147,129.250.0.0/16,"NTT America, Inc.",US
AS2914,"NTT America, Inc.",US,Global,81.20.64.113,81.20.64.0/20,,GB
AS2914,"NTT America, Inc.",US,Global,129.250.4.143,129.250.0.0/16,"NTT America, Inc.",US
AS3257,GTT,US,Global,98.124.184.66,98.124.128.0/18,GTT,US
AS3257,GTT,US,Global,213.200.121.6,213.200.64.0/18,,US
AS3257,GTT,US,Global,209.120.246.61,209.120.128.0/17,GTT,US
AS3258,xTom Tokyo,AU,Regional,91.200.240.8,91.200.240.0/24,,DE
AS3258,xTom Tokyo,AU,Regional,103.125.235.1,103.125.235.0/24,ProtonVPN,JP
AS3258,xTom Tokyo,AU,Regional,91.200.240.12,91.200.240.0/24,,DE
