index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,3 ms,2 ms,2 ms,192.168.71.160,,,,,,,,,
2,149 ms,41 ms,27 ms,10.72.171.38,,,,,,,,,
3,80 ms,30 ms,39 ms,172.25.124.208,,,,,,,,,
6,,30 ms,49 ms,172.26.100.82,,,,,,,,,
7,,82 ms,44 ms,192.168.59.116,,,,,,,,,
10,,57 ms,37 ms,49.44.129.66,49.44.128.0/17,RELIANCEJIO-IN,Reliance Jio Infocomm Limited,IN,55836.0,Reliance Jio Infocomm Limited,RELIANCEJIO-IN,IN,Global
11,53 ms,38 ms,49 ms,23.9.64.150,23.0.0.0/12,AKAMAI,"Akamai Technologies, Inc.",US,20940.0,Akamai International B.V.,AKAMAI-ASN1,NL,Global
