index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,267 ms,265 ms,271 ms,37.19.199.157,37.19.198.0/23,CDNEXT-NYC,CDNEXT NYC,US,212238,Datacamp Limited,CDNEXT,GB,Global
1,306 ms,327 ms,271 ms,185.229.188.172,185.229.188.0/23,UK-DATACAMP-20171102,Datacamp Limited,GB,60068,CDN77,CDN77,GB,Global
2,284 ms,284 ms,266 ms,213.248.70.121,213.248.64.0/18,,,SE,1299,"Arelion, f/k/a Telia Carrier",TWELVE99,SE,Global
3,280 ms,274 ms,272 ms,72.14.204.154,72.14.192.0/18,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
4,291 ms,289 ms,287 ms,142.250.234.37,142.250.0.0/15,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
5,280 ms,287 ms,283 ms,142.251.64.7,142.250.0.0/15,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
6,308 ms,337 ms,369 ms,142.251.35.164,142.250.0.0/15,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
