index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,163 ms,163 ms,167 ms,185.107.56.254,185.107.56.0/22,NL-NFORCE-20150703,NForce Entertainment B.V.,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Global
1,161 ms,183 ms,195 ms,185.107.116.22,185.107.116.0/24,,,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Regional
2,163 ms,164 ms,162 ms,141.101.65.30,141.101.65.0/24,CLOUDFLARENET-EU,"CloudFlare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
3,172 ms,166 ms,169 ms,172.71.100.2,172.71.100.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
4,160 ms,160 ms,165 ms,170.114.52.2,170.114.52.0/24,ZVC,"Zoom Video Communications, Inc",US,209242,"Cloudflare, Inc.",CLOUDFLARESPECTRUM,US,Regional
