index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,152 ms,146 ms,159 ms,103.125.235.1,103.125.235.0/24,ProtonVPN-Tokyo-1,ProtonVPN,JP,3258.0,xTom Tokyo,XTOM-TOKYO,AU,Regional
2,139 ms,135 ms,140 ms,211.14.4.177,211.14.0.0/21,JPNIC-NET-JP,Japan Network Information Center,JP,9607.0,"BroadBand Tower, Inc.",BBTower,JP,Global
3,139 ms,156 ms,140 ms,211.14.4.178,211.14.0.0/21,JPNIC-NET-JP,Japan Network Information Center,JP,9607.0,"BroadBand Tower, Inc.",BBTower,JP,Global
5,146 ms,145 ms,175 ms,210.171.224.134,,,,,,,,,
6,129 ms,129 ms,132 ms,103.22.201.36,103.22.201.0/24,CLOUDFLARE_103_22_201_0,"Cloudflare, Inc.",US,13335.0,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
7,133 ms,135 ms,,170.114.52.2,170.114.52.0/24,ZVC,"Zoom Video Communications, Inc",US,209242.0,"Cloudflare, Inc.",CLOUDFLARESPECTRUM,US,Regional
8,,,133 ms,170.114.52.2,170.114.52.0/24,ZVC,"Zoom Video Communications, Inc",US,209242.0,"Cloudflare, Inc.",CLOUDFLARESPECTRUM,US,Regional
