index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,132 ms,129 ms,134 ms,103.125.235.1,103.125.235.0/24,ProtonVPN-Tokyo-1,ProtonVPN,JP,3258.0,xTom Tokyo,XTOM-TOKYO,AU,Regional
2,127 ms,125 ms,122 ms,211.14.4.177,211.14.0.0/21,JPNIC-NET-JP,Japan Network Information Center,JP,9607.0,"BroadBand Tower, Inc.",BBTower,JP,Global
3,133 ms,131 ms,,211.14.4.178,211.14.0.0/21,JPNIC-NET-JP,Japan Network Information Center,JP,9607.0,"BroadBand Tower, Inc.",BBTower,JP,Global
5,153 ms,,139 ms,210.173.176.110,,,,,,,,,
6,128 ms,126 ms,135 ms,151.101.228.81,151.101.0.0/16,SKYCA-3,Fastly,US,54113.0,"Fastly, Inc.",FASTLY,US,Global
