index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,,,164 ms,103.125.235.1,103.125.235.0/24,ProtonVPN-Tokyo-1,ProtonVPN,JP,3258,xTom Tokyo,XTOM-TOKYO,AU,Regional
2,,149 ms,157 ms,101.203.89.164,101.203.88.0/22,,"BBIX, Inc.",JP,4775,Globe Telecoms,,PH,Global
3,,,148 ms,101.203.88.173,101.203.88.0/22,,"BBIX, Inc.",JP,4775,Globe Telecoms,,PH,Global
4,,141 ms,146 ms,108.170.242.97,108.170.192.0/18,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
5,163 ms,154 ms,139 ms,142.250.224.213,142.250.0.0/15,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
6,,139 ms,149 ms,4.55.111.34,4.0.0.0/9,LVLT-ORG-4-8,"Level 3 Parent, LLC",US,3356,"Level 3 Parent, LLC",LEVEL3,US,Global
