index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,371 ms,267 ms,261 ms,37.19.199.157,37.19.198.0/23,CDNEXT-NYC,CDNEXT NYC,US,212238,Datacamp Limited,CDNEXT,GB,Global
1,265 ms,,288 ms,185.229.188.172,185.229.188.0/23,UK-DATACAMP-20171102,Datacamp Limited,GB,60068,CDN77,CDN77,GB,Global
2,282 ms,275 ms,282 ms,213.248.70.121,213.248.64.0/18,,,SE,1299,"Arelion, f/k/a Telia Carrier",TWELVE99,SE,Global
3,305 ms,304 ms,301 ms,72.14.204.154,72.14.192.0/18,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
4,476 ms,373 ms,323 ms,142.250.63.91,142.250.0.0/15,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
5,1007 ms,588 ms,983 ms,209.85.253.143,209.85.128.0/17,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
6,273 ms,269 ms,281 ms,4.55.111.34,4.0.0.0/9,LVLT-ORG-4-8,"Level 3 Parent, LLC",US,3356,"Level 3 Parent, LLC",LEVEL3,US,Global
