index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,190 ms,162 ms,157 ms,185.107.56.254,185.107.56.0/22,NL-NFORCE-20150703,NForce Entertainment B.V.,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Global
1,161 ms,179 ms,162 ms,185.107.116.21,185.107.116.0/24,,,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Regional
2,161 ms,160 ms,165 ms,209.85.148.162,209.85.128.0/17,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
3,163 ms,177 ms,160 ms,108.170.241.161,108.170.192.0/18,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
4,163 ms,164 ms,160 ms,172.253.71.201,172.253.0.0/16,GOOGLE,Google LLC,US,15169,Google LLC,GOOGLE,US,Global
5,180 ms,162 ms,167 ms,4.55.111.34,4.0.0.0/9,LVLT-ORG-4-8,"Level 3 Parent, LLC",US,3356,"Level 3 Parent, LLC",LEVEL3,US,Global
