index,1,2,3,ip,IP_range,IP_Name,IP_description,IP_Country,ASN_Number,ASN_description,ASN_Name,ASN_Country_Code,IP_Type
0,160 ms,166 ms,183 ms,185.107.56.254,185.107.56.0/22,NL-NFORCE-20150703,NForce Entertainment B.V.,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Global
1,167 ms,160 ms,168 ms,185.107.116.21,185.107.116.0/24,,,NL,43350,NForce Entertainment B.V.,NFORCE,NL,Regional
2,202 ms,160 ms,187 ms,141.101.65.26,141.101.65.0/24,CLOUDFLARENET-EU,"CloudFlare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
3,165 ms,161 ms,161 ms,172.71.92.2,172.71.92.0/24,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Regional
4,162 ms,161 ms,163 ms,104.16.29.57,104.16.0.0/12,CLOUDFLARENET,"Cloudflare, Inc.",US,13335,"Cloudflare, Inc.",CLOUDFLARENET,US,Global
